Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
1,Yes,1,AL83,Batter,1,AL,1983,Cal Ripken Jr.,BAL,322.0,15.0,82%,8.2,162.0,663.0,121.0,211.0,27.0,102.0,0.0,58.0,0.318,0.371,0.517,0.888,,,,,,,,,,,,
2,No,0,AL83,Batter,1,AL,1983,Eddie Murray,BAL,290.0,10.0,74%,6.7,156.0,582.0,115.0,178.0,33.0,111.0,5.0,86.0,0.306,0.393,0.538,0.93,,,,,,,,,,,,
3,No,0,AL83,Batter,1,AL,1983,Carlton Fisk,CHW,209.0,3.0,53%,4.3,138.0,488.0,85.0,141.0,26.0,86.0,9.0,46.0,0.289,0.355,0.518,0.874,,,,,,,,,,,,
4,No,0,AL83,Batter,1,AL,1983,Jim Rice,BOS,150.0,0.0,38%,5.7,155.0,626.0,90.0,191.0,39.0,126.0,0.0,52.0,0.305,0.361,0.55,0.911,,,,,,,,,,,,
5,No,0,AL83,Batter,1,AL,1983,Cecil Cooper,MIL,123.0,0.0,31%,4.0,160.0,661.0,106.0,203.0,30.0,126.0,2.0,37.0,0.307,0.341,0.508,0.849,,,,,,,,,,,,
6,No,0,AL83,Pitcher,0,AL,1983,Dan Quisenberry,KCR,107.0,0.0,27%,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,3.0,1.94,0.928,69.0,0.0,45.0,139.0,118.0,6.0,11.0,48.0
7,No,0,AL83,Batter,1,AL,1983,Dave Winfield,NYY,85.0,0.0,22%,2.5,152.0,598.0,99.0,169.0,32.0,116.0,15.0,58.0,0.283,0.345,0.513,0.858,,,,,,,,,,,,
8,No,0,AL83,Batter,1,AL,1983,Lou Whitaker,DET,84.0,0.0,21%,6.7,161.0,643.0,94.0,206.0,12.0,72.0,17.0,67.0,0.32,0.38,0.457,0.837,,,,,,,,,,,,
9,No,0,AL83,Batter,1,AL,1983,Lance Parrish,DET,66.0,0.0,17%,4.7,155.0,605.0,80.0,163.0,27.0,114.0,1.0,44.0,0.269,0.314,0.483,0.796,,,,,,,,,,,,
10,No,0,AL83,Batter,1,AL,1983,Harold Baines,CHW,49.0,0.0,13%,2.1,156.0,596.0,76.0,167.0,20.0,99.0,7.0,49.0,0.28,0.333,0.443,0.776,,,,,,,,,,,,
11,No,0,AL83,Batter,1,AL,1983,Willie Upshaw,TOR,41.0,0.0,10%,4.7,160.0,579.0,99.0,177.0,27.0,104.0,10.0,61.0,0.306,0.373,0.515,0.887,,,,,,,,,,,,
12,No,0,AL83,Batter,1,AL,1983,Wade Boggs,BOS,25.0,0.0,6%,7.8,153.0,582.0,100.0,210.0,5.0,74.0,3.0,92.0,0.361,0.444,0.486,0.931,,,,,,,,,,,,
13,No,0,AL83,Pitcher,0,AL,1983,LaMarr Hoyt,CHW,24.0,0.0,6%,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,24.0,10.0,3.66,1.024,36.0,36.0,0.0,260.2,236.0,27.0,31.0,148.0
14,No,0,AL83,Batter,1,AL,1983,Lloyd Moseby,TOR,21.0,0.0,5%,6.0,151.0,539.0,104.0,170.0,18.0,81.0,27.0,51.0,0.315,0.376,0.499,0.875,,,,,,,,,,,,
15,No,0,AL83,Pitcher,0,AL,1983,Bob Stanley,BOS,11.0,0.0,3%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,10.0,2.85,1.259,64.0,0.0,33.0,145.1,145.0,7.0,38.0,65.0
16,No,0,AL83,Batter,1,AL,1983,Alan Trammell,DET,11.0,0.0,3%,6.0,142.0,505.0,83.0,161.0,14.0,66.0,30.0,57.0,0.319,0.385,0.471,0.856,,,,,,,,,,,,
17,No,0,AL83,Batter,1,AL,1983,Greg Luzinski,CHW,9.0,0.0,2%,2.3,144.0,502.0,73.0,128.0,32.0,95.0,2.0,70.0,0.255,0.352,0.502,0.854,,,,,,,,,,,,
18,No,0,AL83,Batter,1,AL,1983,Robin Yount,MIL,6.0,0.0,2%,7.3,149.0,578.0,102.0,178.0,17.0,80.0,12.0,72.0,0.308,0.383,0.503,0.886,,,,,,,,,,,,
19,No,0,AL83,Batter,1,AL,1983,Ted Simmons,MIL,4.0,0.0,1%,4.0,153.0,600.0,76.0,185.0,13.0,108.0,4.0,41.0,0.308,0.351,0.448,0.799,,,,,,,,,,,,
20,No,0,AL83,Pitcher,0,AL,1983,Richard Dotson,CHW,3.0,0.0,1%,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22.0,7.0,3.23,1.313,35.0,35.0,0.0,240.0,209.0,19.0,106.0,137.0
21,No,0,AL83,Pitcher,0,AL,1983,Ron Guidry,NYY,2.0,0.0,1%,5.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21.0,9.0,3.42,1.166,31.0,31.0,0.0,250.1,232.0,26.0,60.0,156.0
22,No,0,AL83,Batter,1,AL,1983,Rudy Law,CHW,2.0,0.0,1%,3.2,141.0,501.0,95.0,142.0,3.0,34.0,77.0,42.0,0.283,0.34,0.369,0.709,,,,,,,,,,,,
23,No,0,AL83,Pitcher,0,AL,1983,Jack Morris,DET,2.0,0.0,1%,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,13.0,3.34,1.158,37.0,37.0,0.0,293.2,257.0,30.0,83.0,232.0
24,No,0,AL83,Batter,1,AL,1983,Julio Cruz,TOT,1.0,0.0,0%,2.4,160.0,515.0,71.0,130.0,3.0,52.0,57.0,49.0,0.252,0.318,0.326,0.644,,,,,,,,,,,,
25,No,0,AL83,Batter,1,AL,1983,Rickey Henderson,OAK,1.0,0.0,0%,6.9,145.0,513.0,105.0,150.0,9.0,48.0,108.0,103.0,0.292,0.414,0.421,0.835,,,,,,,,,,,,
26,No,0,AL83,Batter,1,AL,1983,George Wright,TEX,1.0,0.0,0%,3.2,162.0,634.0,79.0,175.0,18.0,80.0,8.0,41.0,0.276,0.321,0.424,0.745,,,,,,,,,,,,
27,No,0,AL83,Pitcher,0,AL,1983,Tippy Martinez,BAL,0.0,0.0,0%,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,3.0,2.35,1.094,65.0,0.0,21.0,103.1,76.0,10.0,37.0,81.0
1,Yes,1,NL83,Batter,1,NL,1983,Dale Murphy,ATL,318.0,21.0,95%,7.1,162.0,589.0,131.0,178.0,36.0,121.0,30.0,90.0,0.302,0.393,0.54,0.933,,,,,,,,,,,,
2,No,0,NL83,Batter,1,NL,1983,Andre Dawson,MON,213.0,1.0,63%,6.9,159.0,633.0,104.0,189.0,32.0,113.0,25.0,38.0,0.299,0.338,0.539,0.877,,,,,,,,,,,,
3,No,0,NL83,Batter,1,NL,1983,Mike Schmidt,PHI,191.0,1.0,57%,6.9,154.0,534.0,104.0,136.0,40.0,109.0,7.0,128.0,0.255,0.399,0.524,0.923,,,,,,,,,,,,
4,No,0,NL83,Batter,1,NL,1983,Pedro Guerrero,LAD,182.0,1.0,54%,5.5,160.0,584.0,87.0,174.0,32.0,103.0,23.0,72.0,0.298,0.373,0.531,0.904,,,,,,,,,,,,
5,No,0,NL83,Batter,1,NL,1983,Tim Raines,MON,83.0,0.0,25%,6.0,156.0,615.0,133.0,183.0,11.0,71.0,90.0,97.0,0.298,0.393,0.429,0.822,,,,,,,,,,,,
6,No,0,NL83,Batter,1,NL,1983,José Cruz,HOU,76.0,0.0,23%,6.2,160.0,594.0,85.0,189.0,14.0,92.0,30.0,65.0,0.318,0.385,0.463,0.848,,,,,,,,,,,,
7,No,0,NL83,Batter,1,NL,1983,Dickie Thon,HOU,67.0,0.0,20%,7.4,154.0,619.0,81.0,177.0,20.0,79.0,34.0,54.0,0.286,0.341,0.457,0.798,,,,,,,,,,,,
8,No,0,NL83,Batter,1,NL,1983,Bill Madlock,PIT,45.0,0.0,13%,2.4,130.0,473.0,68.0,153.0,12.0,68.0,3.0,49.0,0.323,0.386,0.444,0.83,,,,,,,,,,,,
9,No,0,NL83,Pitcher,0,NL,1983,Al Holland,PHI,42.0,0.0,13%,3.2,68.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.26,1.015,68.0,0.0,25.0,91.2,63.0,8.0,30.0,100.0
10,No,0,NL83,Batter,1,NL,1983,Terry Kennedy,SDP,37.0,0.0,11%,4.5,149.0,549.0,47.0,156.0,17.0,98.0,1.0,51.0,0.284,0.342,0.434,0.776,,,,,,,,,,,,
11,No,0,NL83,Batter,1,NL,1983,George Hendrick,STL,33.0,0.0,10%,3.2,144.0,529.0,73.0,168.0,18.0,97.0,3.0,51.0,0.318,0.373,0.493,0.866,,,,,,,,,,,,
