Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
1,Yes,1,AL00,Batter,1,AL,2000,Jason Giambi,OAK,317.0,14.0,81%,7.8,152.0,510.0,108.0,170.0,43.0,137.0,2.0,137.0,0.333,0.476,0.647,1.123,,,,,,,,,,,,
2,No,0,AL00,Batter,1,AL,2000,Frank Thomas,CHW,285.0,10.0,73%,6.0,159.0,582.0,115.0,191.0,43.0,143.0,1.0,112.0,0.328,0.436,0.625,1.061,,,,,,,,,,,,
3,No,0,AL00,Batter,1,AL,2000,Alex Rodriguez,SEA,218.0,4.0,56%,10.4,148.0,554.0,134.0,175.0,41.0,132.0,15.0,100.0,0.316,0.42,0.606,1.026,,,,,,,,,,,,
4,No,0,AL00,Batter,1,AL,2000,Carlos Delgado,TOR,206.0,0.0,53%,7.3,162.0,569.0,115.0,196.0,41.0,137.0,0.0,123.0,0.344,0.47,0.664,1.134,,,,,,,,,,,,
5,No,0,AL00,Pitcher,0,AL,2000,Pedro Martinez,BOS,103.0,0.0,26%,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,18.0,6.0,1.74,0.737,29.0,29.0,0.0,217.0,128.0,17.0,32.0,284.0
6,No,0,AL00,Batter,1,AL,2000,Edgar Martínez,SEA,97.0,0.0,25%,5.7,153.0,556.0,100.0,180.0,37.0,145.0,3.0,96.0,0.324,0.423,0.579,1.002,,,,,,,,,,,,
7,No,0,AL00,Batter,1,AL,2000,Manny Ramirez,CLE,97.0,0.0,25%,4.8,118.0,439.0,92.0,154.0,38.0,122.0,1.0,86.0,0.351,0.457,0.697,1.154,,,,,,,,,,,,
8,No,0,AL00,Batter,1,AL,2000,Darin Erstad,ANA,94.0,0.0,24%,8.4,157.0,676.0,121.0,240.0,25.0,100.0,28.0,64.0,0.355,0.409,0.541,0.951,,,,,,,,,,,,
9,No,0,AL00,Batter,1,AL,2000,Nomar Garciaparra,BOS,66.0,0.0,17%,7.4,140.0,529.0,104.0,197.0,21.0,96.0,5.0,61.0,0.372,0.434,0.599,1.033,,,,,,,,,,,,
10,No,0,AL00,Batter,1,AL,2000,Derek Jeter,NYY,44.0,0.0,11%,4.6,148.0,593.0,119.0,201.0,15.0,73.0,22.0,68.0,0.339,0.416,0.481,0.896,,,,,,,,,,,,
11,No,0,AL00,Batter,1,AL,2000,Mike Sweeney,KCR,33.0,0.0,8%,3.9,159.0,618.0,105.0,206.0,29.0,144.0,8.0,71.0,0.333,0.407,0.523,0.93,,,,,,,,,,,,
12,No,0,AL00,Batter,1,AL,2000,Magglio Ordóñez,CHW,28.0,0.0,7%,2.7,153.0,588.0,102.0,185.0,32.0,126.0,18.0,60.0,0.315,0.371,0.546,0.917,,,,,,,,,,,,
13,No,0,AL00,Batter,1,AL,2000,David Justice,TOT,23.0,0.0,6%,5.1,146.0,524.0,89.0,150.0,41.0,118.0,2.0,77.0,0.286,0.377,0.584,0.961,,,,,,,,,,,,
14,No,0,AL00,Batter,1,AL,2000,Bernie Williams,NYY,23.0,0.0,6%,5.2,141.0,537.0,108.0,165.0,30.0,121.0,13.0,71.0,0.307,0.391,0.566,0.957,,,,,,,,,,,,
15,No,0,AL00,Pitcher,0,AL,2000,Tim Hudson,OAK,8.0,0.0,2%,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,4.14,1.241,32.0,32.0,0.0,202.1,169.0,24.0,82.0,169.0
16,No,0,AL00,Batter,1,AL,2000,Miguel Tejada,OAK,5.0,0.0,1%,4.2,160.0,607.0,105.0,167.0,30.0,115.0,6.0,66.0,0.275,0.349,0.479,0.828,,,,,,,,,,,,
17,No,0,AL00,Batter,1,AL,2000,Travis Fryman,CLE,2.0,0.0,1%,4.7,155.0,574.0,93.0,184.0,22.0,106.0,1.0,73.0,0.321,0.392,0.516,0.908,,,,,,,,,,,,
18,No,0,AL00,Pitcher,0,AL,2000,David Wells,TOR,2.0,0.0,1%,4.8,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,20.0,8.0,4.11,1.293,35.0,35.0,0.0,229.2,266.0,23.0,31.0,166.0
19,No,0,AL00,Batter,1,AL,2000,Johnny Damon,KCR,1.0,0.0,0%,6.1,159.0,655.0,136.0,214.0,16.0,88.0,46.0,65.0,0.327,0.382,0.495,0.877,,,,,,,,,,,,
1,Yes,1,NL00,Batter,1,NL,2000,Jeff Kent,SFG,392.0,22.0,88%,7.2,159.0,587.0,114.0,196.0,33.0,125.0,12.0,90.0,0.334,0.424,0.596,1.021,,,,,,,,,,,,
2,No,0,NL00,Batter,1,NL,2000,Barry Bonds,SFG,279.0,6.0,62%,7.7,143.0,480.0,129.0,147.0,49.0,106.0,11.0,117.0,0.306,0.44,0.688,1.127,,,,,,,,,,,,
